option_id,rule_type,branch,target,left,op,right,key,value
evt_s2_fl_qin_house_1_opt_1,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:+5
evt_s2_fl_qin_house_1_opt_2,resolution,default,player,,add,,gold,30
evt_s2_fl_qin_house_2_opt_1,resolution,default,player,,add,,spirit,1
evt_s2_fl_qin_house_2_opt_1,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:+5
evt_s2_fl_qin_house_2_opt_3,resolution,default,player,,add,,spirit,1
evt_s2_fl_qin_house_3_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_qin_house_3_opt_1,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:+5
evt_s2_fl_qin_house_4_opt_1,resolution,default,player,,add,,gold,10
evt_s2_fl_qin_house_4_opt_1,resolution,default,player,,add,,spirit,1
evt_s2_fl_qin_house_4_opt_2,resolution,default,player,,add,,gold,10
evt_s2_fl_qin_house_4_opt_3,resolution,default,player,,add,,gold,10
evt_s2_fl_qin_house_5_opt_1,resolution,default,player,,add,,spirit,-1
evt_s2_fl_qin_house_5_opt_1,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:-3
evt_s2_fl_qin_house_5_opt_2,resolution,default,player,,add,,spirit,-1
evt_s2_fl_qin_house_5_opt_2,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:-3
evt_s2_fl_qin_house_5_opt_3,resolution,default,player,,add,,spirit,-2
evt_s2_fl_qin_house_5_opt_3,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:-5
evt_s2_fl_qin_house_6_opt_1,resolution,default,player,,add,,spirit,1
evt_s2_fl_qin_house_6_opt_1,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:+5
evt_s2_fl_qin_house_6_opt_3,resolution,default,player,,add,,spirit,1
evt_s2_fl_qin_house_6_opt_3,resolution,default,affinity,,,,affinityDeltas,player_001->npc_qin:+5
evt_s2_fl_zhou_1_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_zhou_2_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_zhou_2_opt_3,cost,default,,,,,spirit,1
evt_s2_fl_zhou_3_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_zhou_4_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_zhou_5_opt_1,cost,default,,,,,spirit,1
evt_s2_fl_zhou_5_opt_3,cost,default,,,,,spirit,1
evt_s2_fl_zhou_6_opt_2,cost,default,,,,,spirit,1
evt_s2_fl_cheng_2_opt_2,cost,default,,,,,spirit,1
evt_s2_fl_cheng_3_opt_2,cost,default,,,,,spirit,1
evt_s2_fl_cheng_4_opt_1,cost,default,,,,,spirit,1
evt_s3_chain_4_opt_1,resolution,default,affinity,,,,affinityDeltas,player_001->npc_zhou:+5
evt_s3_chain_4_opt_1,resolution,default,player,,add,,physique,1
evt_s3_chain_4_opt_3,resolution,default,affinity,,,,affinityDeltas,player_001->npc_zhou:+5
evt_s3_chain_4_opt_3,resolution,default,player,,add,,physique,1
