option_id,choice_point_id,text,display_order,is_base,weight,trigger_condition,allow_desperate
evt_s2_fl_qin_house_3_opt_1,cp_evt_s2_fl_qin_house_3,找根麻绳自己绑紧,1,,,,
evt_s2_fl_qin_house_3_opt_2,cp_evt_s2_fl_qin_house_3,先放着，回头再处理,2,,,,
evt_s2_fl_qin_house_3_opt_3,cp_evt_s2_fl_qin_house_3,去问问孙伯有没有趁手的木楔,3,,,,
evt_s2_fl_qin_house_4_opt_1,cp_evt_s2_fl_qin_house_4,收下，按娘的意思添置,1,,,,
evt_s2_fl_qin_house_4_opt_2,cp_evt_s2_fl_qin_house_4,把钱放回去，下次娘回来再说,2,,,,
evt_s2_fl_qin_house_4_opt_3,cp_evt_s2_fl_qin_house_4,钱拿着，回头看缺什么再添,3,,,,
evt_s2_fl_qin_house_5_opt_1,cp_evt_s2_fl_qin_house_5,默默吃完，把灶台收拾好,1,,,,
evt_s2_fl_qin_house_5_opt_2,cp_evt_s2_fl_qin_house_5,简单吃几口就睡,2,,,,
evt_s2_fl_qin_house_5_opt_3,cp_evt_s2_fl_qin_house_5,不饿，先回屋睡了,3,,,,
evt_s2_fl_qin_house_6_opt_1,cp_evt_s2_fl_qin_house_6,替娘招呼一两句，让王嫂坐一会,1,,,,
evt_s2_fl_qin_house_6_opt_2,cp_evt_s2_fl_qin_house_6,默默看着摊位,2,,,,
evt_s2_fl_qin_house_6_opt_3,cp_evt_s2_fl_qin_house_6,把摊位上的物件挪一挪,3,,,,
evt_s2_fl_zhou_1_opt_1,cp_evt_s2_fl_zhou_1,多看几眼那个招式,1,,,,
evt_s2_fl_zhou_1_opt_2,cp_evt_s2_fl_zhou_1,放下东西就走,2,,,,
evt_s2_fl_zhou_1_opt_3,cp_evt_s2_fl_zhou_1,和老门房说两句话再走,3,,,,
evt_s2_fl_zhou_2_opt_1,cp_evt_s2_fl_zhou_2,停下听一会,1,,,,
evt_s2_fl_zhou_2_opt_2,cp_evt_s2_fl_zhou_2,继续走,2,,,,
evt_s2_fl_zhou_2_opt_3,cp_evt_s2_fl_zhou_2,折回去看一眼,3,,,,
evt_s2_fl_zhou_3_opt_1,cp_evt_s2_fl_zhou_3,拿起来看一会,1,,,,
evt_s2_fl_zhou_3_opt_2,cp_evt_s2_fl_zhou_3,走过去看,2,,,,
evt_s2_fl_zhou_3_opt_3,cp_evt_s2_fl_zhou_3,不去碰,3,,,,
evt_s2_fl_zhou_4_opt_1,cp_evt_s2_fl_zhou_4,靠近些看,1,,,,
evt_s2_fl_zhou_4_opt_2,cp_evt_s2_fl_zhou_4,站远处看完,2,,,,
evt_s2_fl_zhou_4_opt_3,cp_evt_s2_fl_zhou_4,走开做自己的事,3,,,,
evt_s2_fl_zhou_5_opt_1,cp_evt_s2_fl_zhou_5,站着看一会,1,,,,
evt_s2_fl_zhou_5_opt_2,cp_evt_s2_fl_zhou_5,看一眼就走,2,,,,
evt_s2_fl_zhou_5_opt_3,cp_evt_s2_fl_zhou_5,凑近些看,3,,,,
evt_s2_fl_zhou_6_opt_1,cp_evt_s2_fl_zhou_6,默默听完,1,,,,
evt_s2_fl_zhou_6_opt_2,cp_evt_s2_fl_zhou_6,跟着问一句,2,,,,
evt_s2_fl_zhou_6_opt_3,cp_evt_s2_fl_zhou_6,走开,3,,,,
evt_s2_fl_cheng_1_opt_1,cp_evt_s2_fl_cheng_1,记在心里,1,,,,
evt_s2_fl_cheng_1_opt_2,cp_evt_s2_fl_cheng_1,起身走开,2,,,,
evt_s2_fl_cheng_1_opt_3,cp_evt_s2_fl_cheng_1,跟旁边的人也搭句话,3,,,,
evt_s2_fl_cheng_2_opt_1,cp_evt_s2_fl_cheng_2,照着脚下的路继续走,1,,,,
evt_s2_fl_cheng_2_opt_2,cp_evt_s2_fl_cheng_2,站着多看一会儿,2,,,,
evt_s2_fl_cheng_2_opt_3,cp_evt_s2_fl_cheng_2,"心里嘀咕一句""这地方倒齐整""",3,,,,
evt_s2_fl_cheng_3_opt_1,cp_evt_s2_fl_cheng_3,转身就走,1,,,,
evt_s2_fl_cheng_3_opt_2,cp_evt_s2_fl_cheng_3,在阶下歇一会儿再走,2,,,,
evt_s2_fl_cheng_3_opt_3,cp_evt_s2_fl_cheng_3,跟接货的人问句话,3,,,,
evt_s2_fl_cheng_4_opt_1,cp_evt_s2_fl_cheng_4,注意听他说话,1,,,,
evt_s2_fl_cheng_4_opt_2,cp_evt_s2_fl_cheng_4,转头看别处,2,,,,
evt_s2_fl_cheng_4_opt_3,cp_evt_s2_fl_cheng_4,等他走后跟伙计问句话,3,,,,
evt_s2_fl_cheng_5_opt_1,cp_evt_s2_fl_cheng_5,把这事记在心里,1,,,,
evt_s2_fl_cheng_5_opt_2,cp_evt_s2_fl_cheng_5,随他们说去,2,,,,
evt_s2_fl_cheng_5_opt_3,cp_evt_s2_fl_cheng_5,跟摊主问句话,3,,,,
evt_s2_fl_cheng_6_opt_1,cp_evt_s2_fl_cheng_6,自己也喝口水继续干活,1,,,,
evt_s2_fl_cheng_6_opt_2,cp_evt_s2_fl_cheng_6,多看了老人一眼,2,,,,
evt_s2_fl_cheng_6_opt_3,cp_evt_s2_fl_cheng_6,跟同行的人继续闲聊,3,,,,
evt_s3_chain_4_opt_1,cp_evt_s3_chain_4,照他说的挪一挪,1,,,,
evt_s3_chain_4_opt_2,cp_evt_s3_chain_4,保持原样不动,2,,,,
evt_s3_chain_4_opt_3,cp_evt_s3_chain_4,为……为什么要挪？,3,,,,
