event_id,presentation_id,display_order,item_type,speaker,text,presents,condition
sys_final_reflection,sys_final_reflection_p3,3,text,,“反正还有时间对不对？来日方长！”她说着，抬起头看了看远处的山道。\n你浑身酸痛，不敢想象这样的日子还有多久，入仙门的念想还有多长。,text,
evt_s2_sk_he,evt_s2_sk_he_p1,1,text,,你来药铺已经几日，跟着别的伙计跑腿。今早进门，旁边那个老伙计把你拉到一边。,text,
evt_s2_sk_he,evt_s2_sk_he_p2,2,text,,“何掌柜回来了。今儿你算正式上工——你过去见见他。”,text,
evt_s2_sk_he,evt_s2_sk_he_p3,3,text,,你掀开门帘进店。柜台后那人正低头看一味药材，慢慢翻动。听到你进来，他抬眼看你一下，又低下头继续看，没出声。,text,
evt_s2_sk_he,evt_s2_sk_he_p4,4,text,,你认得那株药材的样子，但说不上来名字。柜后人慢慢摆弄药材的样子，让你想起几样自己一直没记牢的事。,text,
evt_s2_sk_qin,evt_s2_sk_qin_p1,1,text,,你进院时绕过门旁那筐刚送来的东西。堂屋桌上一张写满字的纸，旁边铜板分成几小堆，娘坐在桌前。,text,
evt_s2_sk_qin,evt_s2_sk_qin_p2,2,text,,“回来了。砚儿过来——孙伯早上送来这筐，娘正算这月走礼，你看一眼，哪些下午回回去，哪些留家里。”,text,
evt_s2_sk_qin,evt_s2_sk_qin_p3,3,text,,你坐到桌边。一筐里几样并排——半把咸鱼、一捧干笋、一包红枣、一块腌肉。桌上那张纸娘已写了大半，铜板分成三堆。,text,
evt_s2_sk_qin,evt_s2_sk_qin_p4,4,text,,你看着筐里这几样。回礼的密度娘心里有数。分粗了亏邻里，分细了又显家中拘谨。这几样哪些匀出去合适——你掂量了一下。,text,
evt_s2_sk_zhou,evt_s2_sk_zhou_p1,1,text,,你这一日在镇上跑完几桩事，回家绕了远路，去看看练场。远远听到训练的声音，靠近些，难得遇到了陆师傅亲自指点。,text,
evt_s2_sk_zhou,evt_s2_sk_zhou_p2,2,text,,场中正是一个少年在练剑。动作流畅，每一下收得稳稳的。陆师傅站在三步外看着，偶尔开口。少年应声，剑招渐渐迷了你的眼。,text,
evt_s2_sk_zhou,evt_s2_sk_zhou_p3,3,text,,那一遍做完，少年走到场边喝水。他穿一件淡青色的练衣，腰间一块玉佩玲珑剔透。他转头朝你这边看了一眼，停了片刻，没说什么，又走回场上。,text,
evt_s2_sk_zhou,evt_s2_sk_zhou_p4,4,text,,你站在边上没动。方才那个少年练的那一招，动作好像也不复杂，你眼里还能看见他收手的姿势。,text,
evt_s2_sk_cheng,evt_s2_sk_cheng_p1,1,text,,你这一日在镇上跑完几桩事，听人说道观招短工，半天活工钱当面付。停了一下，应下，往镇外走。,text,
evt_s2_sk_cheng,evt_s2_sk_cheng_p2,2,text,,你跨进道观门。砖瓦讲究得不像本地的，香气重而不杂，角落里的东西也摆得齐整。\n一个弟子过来分活，让你搬几个书箱到东厢。,text,
evt_s2_sk_cheng,evt_s2_sk_cheng_p3,3,text,,你搬到第三趟时，一位中年男子从院里出来。素色长衫，神色温和——正是镇上人说的“程先生”。\n他走到你身边的书箱前停下，对弟子说：“这几本，应当不必再翻了吧。”\n“还有用处。”\n“那便随他。”,text,
evt_s2_sk_cheng,evt_s2_sk_cheng_p4,4,text,,你站在那里没动，手里的书箱还提着。程在你身旁没走开，像是在看那几本旧册子。,text,
evt_s2_fl_pharmacy_1,evt_s2_fl_pharmacy_1_p1,1,text,,中午前药铺忙起来。柜台后只剩你和一个老伙计——他把一张方子塞到你手里，又转身去应付门口的客人。,text,
evt_s2_fl_pharmacy_1,evt_s2_fl_pharmacy_1_p2,2,text,,你低头看方子上的几味药——有几个名字你认得，有几个还得想一想。柜台另一头的客人正等着。,text,
evt_s2_fl_pharmacy_2,evt_s2_fl_pharmacy_2_p1,1,text,,雨从半上午落到这会儿，门帘垂着没怎么动。老伙计在角落里坐着，背靠木柜，下巴抵在胸口。,text,
evt_s2_fl_pharmacy_2,evt_s2_fl_pharmacy_2_p2,2,text,,你面前的药臼里还剩半臼没磨。手边的活就这一样，雨声从门缝里渗进来，绵绵的，没头没尾。,text,
evt_s2_fl_pharmacy_3,evt_s2_fl_pharmacy_3_p1,1,text,,上午没几个人。老伙计在里间挪药斗，柜台边只剩你一个。门帘一掀，进来个人，没看旁的，直冲你这头。,text,
evt_s2_fl_pharmacy_3,evt_s2_fl_pharmacy_3_p2,2,text,,客人按着柜台说，家里老人咳了几日，夜里更厉害，让你拿点药。你应了一声，眼睛在身后那排药斗上扫了一遍。,text,
evt_s2_fl_pharmacy_4,evt_s2_fl_pharmacy_4_p1,1,text,,午后铺子清静。你蹲在货架后头码药材，从两个罐子之间的缝里掏出一样东西——薄薄一本书。,text,
evt_s2_fl_pharmacy_4,evt_s2_fl_pharmacy_4_p2,2,text,,你掀开看了几行。字都认得，连起来却像隔着一层。你愣了一下，握着书没动。,text,
evt_s2_fl_pharmacy_5,evt_s2_fl_pharmacy_5_p1,1,text,,铺门刚卸下板，几只木箱已经堆在门槛边——油纸捆得鼓鼓囊囊，有几包还沾着外头的湿气。老伙计夹着账册过来，一包一包翻开比对。,text,
evt_s2_fl_pharmacy_5,evt_s2_fl_pharmacy_5_p2,2,text,,轮到你这边时，账册往下翻了一页。你一包一包拎起来——有几个名目盖在油纸上，你看了两眼也没对上是哪一味。,text,
evt_s2_fl_pharmacy_6,evt_s2_fl_pharmacy_6_p1,1,text,,暮色从门外漫进来，柜台上的影子拉得老长。老伙计在那头一格一格地推药斗，木轴转动的声音咔哒咔哒。,text,
evt_s2_fl_pharmacy_6,evt_s2_fl_pharmacy_6_p2,2,text,,头顶的灯被点上，光晕落在你手边那几样还没归置的零碎上。门外的天暗下去了，再做一会儿也行，搁下走也行。,text,
evt_s2_fl_qin_house_1,evt_s2_fl_qin_house_1_p1,1,text,,娘交代了些事情，你从家中匆匆出门，来到镇外小桥，路过桥头。一个肩挑担子的过路客正坐在桥栏边歇脚，担子上的茶具碰得叮当响。,text,
evt_s2_fl_qin_house_1,evt_s2_fl_qin_house_1_p2,2,text,,客人见你过来，认出你是素娘家的——他放下担子从里头翻出几吊钱递给你；说前年大风天在这镇上歇过一晚，娘煮了一锅热粥给他喝，那份心意他记到现在。,text,
evt_s2_fl_qin_house_2,evt_s2_fl_qin_house_2_p1,1,text,,来镇上看看铺子，顺道去镇东那条窄街的茶水摊歇歇脚。两个老主顾正坐在摊外的木条凳上闲聊——一个是镇南卖布的，一个是修补摊的。,text,
evt_s2_fl_qin_house_2,evt_s2_fl_qin_house_2_p2,2,text,,卖布的抿了一口，跟修补摊的提起前年雨季——那阵子镇上水大，素娘把家里几个粮袋借出去给他堵水口，救下他家半亩菜。修补摊的应一声，说素娘这家做事不留半点人情账。,text,
evt_s2_fl_qin_house_3,evt_s2_fl_qin_house_3_p1,1,text,,从外面回来，推开院门，门轴咯吱一声响。门轴底下那枚木楔松了，门板斜斜挂着。屋里没人，堂屋的窗开着，针线笸箩搁在窗下椅上。,text,
evt_s2_fl_qin_house_3,evt_s2_fl_qin_house_3_p2,2,text,,堂屋桌上几只杯盏才擦完，院里晾着一筐刚摘的菜。门要修一修才好关上。,text,
evt_s2_fl_qin_house_4,evt_s2_fl_qin_house_4_p1,1,text,,在外奔波许久，终于回屋。床头那角压着一张小纸条，纸下几枚铜板叠成一小摞——两吊钱。床上叠好的衣物搁在边上。,text,
evt_s2_fl_qin_house_4,evt_s2_fl_qin_house_4_p2,2,text,,字条上几个字——“再给你两吊买点用得上的”。屋里没有别的声响，娘出去办事去了。,text,
evt_s2_fl_qin_house_5,evt_s2_fl_qin_house_5_p1,1,text,,返家时，已经月上枝头。推门进堂屋，屋里没光，灶台那头还留着一点余温。锅盖揭开是温热的饭菜，桌上一双筷子摆好了。,text,
evt_s2_fl_qin_house_5,evt_s2_fl_qin_house_5_p2,2,text,,内屋的门掩着，灯熄了。灶台边上几个洗了一半的盘子还摞在那。,text,
evt_s2_fl_qin_house_6,evt_s2_fl_qin_house_6_p1,1,text,,你路过镇上的市集。娘的摊位摆在老位置——咸菜罐子叠了几摞，针线包压着摊布的一角，那只小杌子空在那里。,text,
evt_s2_fl_qin_house_6,evt_s2_fl_qin_house_6_p2,2,text,,摊位边的小账本翻开着，铅笔搁在上头。王嫂走过来，问素娘呢——说要还上回那一吊钱。,text,
evt_s2_fl_zhou_1,evt_s2_fl_zhou_1_p1,1,text,,娘交代了一桩事，让你顺路把一个小包送到练场。你绕过镇南那段石路走过来，门里头几个徒弟正在场上练剑。,text,
evt_s2_fl_zhou_1,evt_s2_fl_zhou_1_p2,2,text,,你把小包递给来收的老门房，他抬手示意你放在门内长凳上。你站在长凳边没急着走——场上其中一个少年正在练那一招，每一下收得很稳，剑尖沉下去时手腕不晃。,text,
evt_s2_fl_zhou_2,evt_s2_fl_zhou_2_p1,1,text,,你替邻里跑一桩话，从镇北那条小巷子横穿过去。巷子尽头一段路紧挨练场的围墙，墙不高，能听到里头的动静。,text,
evt_s2_fl_zhou_2,evt_s2_fl_zhou_2_p2,2,text,,墙里头一片人在练。喊招声短促，木剑碰木剑的脆响隔一阵就来一下；偶尔有师傅的一两声短训。一阵接着一阵不歇。,text,
evt_s2_fl_zhou_3,evt_s2_fl_zhou_3_p1,1,text,,你在镇上跑事，顺道绕进练场旁的一片空地——熟门熟路抄近道。空地上有一段石阶，石阶尽头靠墙搭了一条长凳。,text,
evt_s2_fl_zhou_3,evt_s2_fl_zhou_3_p2,2,text,,长凳一头搁着一把木剑。剑身从上到下都是磨痕，木色被汗水浸得有些深；木柄上却包了一层细皮，针脚密得几乎看不见，是工匠做的。,text,
evt_s2_fl_zhou_4,evt_s2_fl_zhou_4_p1,1,text,,你从镇南那条街跑完一桩话回来，路过练场。门里头格外静——平时一片喧腾的练场今天没有那些杂声，几个徒弟围着场子中央站着。你脚下慢了下来。,text,
evt_s2_fl_zhou_4,evt_s2_fl_zhou_4_p2,2,text,,场中央是陆师傅。他一个人在演那一段招式——起手、转腕、收剑，每一下都不快但都很稳。围着的几个徒弟一动不动看着。你站在门外没进去，从街那一头远远也看见了。,text,
evt_s2_fl_zhou_5,evt_s2_fl_zhou_5_p1,1,text,,你被娘差去练场旁的杂货摊取一样东西，摊主一时找不到货让你等等。你站在练场门外的台阶上没动，门里头那时已经有几个徒弟在场上练了。,text,
evt_s2_fl_zhou_5,evt_s2_fl_zhou_5_p2,2,text,,几个徒弟分作两组对练。其中一组里有个少年——那身衣着你眼熟，他收手时手腕沉下去的样子也熟。一组练完，两边互相点了点头各归到旁边歇着，没多说几句话。,text,
evt_s2_fl_zhou_6,evt_s2_fl_zhou_6_p1,1,text,,你在镇上办完事路过练场口，日头当头晒得人发昏，便在练场旁那家茶水摊坐下来喝一碗。摊棚后头几个同代的小子也凑在那里乘凉。,text,
evt_s2_fl_zhou_6,evt_s2_fl_zhou_6_p2,2,text,,几个小子说着话，话头不知怎么就拐到了练场那边——其中一个朝练场指了指，说起周家那个少爷又在那里练剑。另一个接话说他家本来不愁衣食，父母还托人请了陆师傅，那身衣裳和挂的玉都是请人专做的。几个人凑在一起笑了两声又散开说别的去了。,text,
evt_s2_fl_cheng_1,evt_s2_fl_cheng_1_p1,1,text,,你给道观应下一桩半日的活，出门走得早，先在街口树荫底下的石条上坐了一会儿。日头正烈，街上人不多，过路的脚步声听得清。,text,
evt_s2_fl_cheng_1,evt_s2_fl_cheng_1_p2,2,text,,两个穿青布短褂的从你前头走过，一个说程先生是个好人，那道观这两年讲究得很。另一个嗯了一声，说也是镇上有福气。脚步声远了。,text,
evt_s2_fl_cheng_2,evt_s2_fl_cheng_2_p1,1,text,,今日替娘亲送一份东西给镇外的人家，顺着那条石板小道往北走，不知不觉就要走到道观。天色还早，路上没几个人。,text,
evt_s2_fl_cheng_2,evt_s2_fl_cheng_2_p2,2,text,,走到拐角时，你看见远处那座道观的飞檐露在树梢上头。风吹过来，带着一阵不淡不浓的香气，钟声也跟着飘过来一声。,text,
evt_s2_fl_cheng_3,evt_s2_fl_cheng_3_p1,1,text,,镇上一家香铺的掌秤的让你帮忙搬一趟货到道观去，工钱当场给。你应了，跟着到铺子后头点了点东西。,text,
evt_s2_fl_cheng_3,evt_s2_fl_cheng_3_p2,2,text,,是一筐香料，分了两包，沉甸甸的。你扛上肩，往镇外那条路走。日头偏西，路上没几个人。,text,
evt_s2_fl_cheng_3,evt_s2_fl_cheng_3_p3,3,text,,走到道观门外，你把两包香料卸在门口的石阶上。门里出来一个穿短褂的，看了一眼便点头让你放下，又抬手指了指里头不必你进去。你站在阶下，伸手抹了把额头的汗。,text,
evt_s2_fl_cheng_4,evt_s2_fl_cheng_4_p1,1,text,,你今日要往道观去应一桩差事。半途中拐进一家铺子，顺道取一份东西。铺主说去后头拿，让你略候一候。你站在柜外的板凳边，等他取来。,text,
evt_s2_fl_cheng_4,evt_s2_fl_cheng_4_p2,2,text,,这时门外进来一个穿青色短褂的，约二十岁年纪，是道观那边的弟子。他跟柜上的人说要取上次预定的一份东西。柜上的人忙称是，让他略候。他点了点头，没接柜上的人客套话，只说了一句“也罢”，往里头走了两步又停下，立在原处不动。,text,
evt_s2_fl_cheng_5,evt_s2_fl_cheng_5_p1,1,text,,道观那边总会派一些杂事。有机会补贴家用，让你心中欢喜。事毕，返程路上，你进了一家茶水摊歇脚。三五张矮桌坐着歇脚的人，茶水滚得正烈。摊主给你倒了一碗，让你自己挑张桌。,text,
evt_s2_fl_cheng_5,evt_s2_fl_cheng_5_p2,2,text,,你挑了门口的一张矮桌坐下。后头一桌的两个老者正在闲谈，前面那位说起前两年镇北边谁家的孩子，在程先生那边学了一阵，后来仙门选拔考过去了，如今已经在山上学艺。另一位嗯了一声，说镇上是有福气的地方。两人又说回别的事去。,text,
evt_s2_fl_cheng_6,evt_s2_fl_cheng_6_p1,1,text,,道观的伙计总是做不完，今日正巧有人同去。走了半路，口干舌燥，经过井边，停下喝口水。井边一个老人正蹲着洗几个瓜，旁边水盆放了一只木瓢。,text,
evt_s2_fl_cheng_6,evt_s2_fl_cheng_6_p2,2,text,,同行的人喝水时随口提起道观，说今年的香比往年好闻，程先生那边一向讲究。老人嗯了一声，没接话，把瓜在水盆里翻了个面。同行人见老人面色不知可否，询问起来，老人只是打个哈哈。,text,
evt_s3_chain_entry,evt_s3_chain_entry_p1,1,text,,桌上的布包是娘早就裹好的——束脩、两包茶饼、几枚铜板。你接过来。\n娘正系围裙。“摊上几样还没分妥，娘先去市集那边。砚儿，路上当心。”她抬眼看了看你拿包的手，又转回身去取那把分账纸用的小铜尺。,text,
evt_s3_chain_entry,evt_s3_chain_entry_p2,2,text,,镇上还没怎么醒，雾还没散尽。你走得比平日里快——不是赶时间，是想早点到。\n这条路你走过无数次，今天不一样。前面那座练场，再过去些就是出镇的山道——这一天你想了好些日子了，练场，然后是仙门。,text,
evt_s3_chain_2,evt_s3_chain_2_p1,1,text,,拜师仪式比你想象得要简单。陆师傅简单地坐着，理着一摞名册——门口聚了十来个少年，比你早到的、刚到的、还有家里送来的。\n“叫到的，上前来。”前排陆续上去。到你时已是后半。陆师傅低头看名册：“过来。”,text,
evt_s3_chain_2,evt_s3_chain_2_p2,2,text,,你走上阶，把贽礼放下。“我……我叫沈砚……”,text,
evt_s3_chain_2,evt_s3_chain_2_p3,3,text,,你有些紧张，没料到陆师傅看过来。“秦家的孩子？”他在册子上勾了一笔，没等你回答。,text,
evt_s3_chain_2,evt_s3_chain_2_p4,4,text,,“东西收下来，日后好好学好好练，别辜负家人。”他勉励几句。,text,
evt_s3_chain_3,evt_s3_chain_3_p1,1,text,,拜完师，便是演武。\n陆师傅点出一人，上前来一招一式，煞是好看。这人你见过好多次了，周既明。“周既明，就是那家……”周围一开始还有议论低语，几套招式下来，只剩下叹服的声音。,text,
evt_s3_chain_3,evt_s3_chain_3_p2,2,text,,抬腿，蹦脚，势毕。周师兄向大家拱手，目光扫过大家，扫过你。\n再次撞上了这道目光，你没看出什么情绪。,text,
evt_s3_chain_4,evt_s3_chain_4_p1,1,text,,“诶，你看周既明打得怎么样？”旁边的师兄弟小声发问。\n你扎着马步，浑身晃悠，脑子里大汗淋漓，根本不知道怎么应声。,text,
evt_s3_chain_4,evt_s3_chain_4_p2,2,text,,“把脚挪一挪，会好受很多。”出声的人语气冷淡，你好容易从湿透的发梢间看清了那枚玉佩。,text,
