event_id,title,background_art,base_weight,continuation_policy,choice_point_id,tags,task_links,is_ending_event,type
evt_s2_fl_pharmacy_6,[填充·药铺·6] 打烊前,,10,ReturnToScheduler,cp_evt_s2_fl_pharmacy_6,filler;stage2,,FALSE,
evt_s2_fl_qin_house_1,[填充·家+市场·1] 桥头的过路客,,10,ReturnToScheduler,cp_evt_s2_fl_qin_house_1,filler;stage2,,FALSE,
evt_s2_fl_qin_house_2,[填充·家+市场·2] 茶水摊后头的话头,,10,ReturnToScheduler,cp_evt_s2_fl_qin_house_2,filler;stage2,,FALSE,
evt_s2_fl_qin_house_3,[填充·家+市场·3] 门轴松了,,10,ReturnToScheduler,cp_evt_s2_fl_qin_house_3,filler;stage2,,FALSE,
evt_s2_fl_qin_house_4,[填充·家+市场·4] 床头压着的两吊铜板,,10,ReturnToScheduler,cp_evt_s2_fl_qin_house_4,filler;stage2,,FALSE,
evt_s2_fl_qin_house_5,[填充·家+市场·5] 晚归的灶台,,10,ReturnToScheduler,cp_evt_s2_fl_qin_house_5,filler;stage2,,FALSE,
evt_s2_fl_qin_house_6,[填充·家+市场·6] 替娘看一会摊,,10,ReturnToScheduler,cp_evt_s2_fl_qin_house_6,filler;stage2,,FALSE,
evt_s2_fl_zhou_1,[填充·练场·1] 替人送一趟物件,,10,ReturnToScheduler,cp_evt_s2_fl_zhou_1,filler;stage2,,FALSE,
evt_s2_fl_zhou_2,[填充·练场·2] 墙外的训练声,,10,ReturnToScheduler,cp_evt_s2_fl_zhou_2,filler;stage2,,FALSE,
evt_s2_fl_zhou_3,[填充·练场·3] 角落里那把木剑,,10,ReturnToScheduler,cp_evt_s2_fl_zhou_3,filler;stage2,,FALSE,
evt_s2_fl_zhou_4,[填充·练场·4] 陆师傅演那一招,,10,ReturnToScheduler,cp_evt_s2_fl_zhou_4,filler;stage2,,FALSE,
evt_s2_fl_zhou_5,[填充·练场·5] 群训里的那少年,,10,ReturnToScheduler,cp_evt_s2_fl_zhou_5,filler;stage2,,FALSE,
evt_s2_fl_zhou_6,[填充·练场·6] 街头几个少年的闲话,,10,ReturnToScheduler,cp_evt_s2_fl_zhou_6,filler;stage2,,FALSE,

evt_s3_chain_entry,[拜师·出发] 凡俗常态 + 沈兴奋,qin_house_qinsuniang_foreground.png,10,ChainContinue,,chain;shi,,FALSE,
evt_s3_chain_2,[拜师·拜师段] 集体面试与陆识别,training_ground_luchengyue.png,10,ChainContinue,,chain;shi,,FALSE,
evt_s3_chain_3,[拜师·演武] 周师兄演武,training_ground_zhoujiming_foreground.png,10,ChainContinue,,chain;shi,,FALSE,
evt_s3_chain_4,[拜师·扎马步] 周师兄扎马步指点,training_ground_zhoujiming_foreground.png,10,ChainContinue,cp_evt_s3_chain_4,chain;shi,,FALSE,
